,True,Predicted
0,87.17001343,86.53827
2,86.0,85.57909
3,85.0,84.879486
10,85.09999847,84.95206
13,84.90000153,85.33168
19,84.90000153,84.9299
21,84.90000153,84.95856
25,85.0,84.80821
26,85.0,84.63493
27,85.0,84.59791
28,84.90000153,84.7036
35,85.09999847,84.439186
40,84.80000305,85.2325
41,85.09999847,84.88797
43,85.19999695,85.32411
52,86.0,85.91742
53,85.80000305,85.84146
55,86.09999847,86.10217
60,84.80000305,85.025276
61,84.30000305,84.360756
62,85.19999695,85.74315
63,85.09999847,85.54605
68,86.69999695,87.05499
71,87.19999695,87.44606
73,87.19999695,87.173325
75,87.09999847,87.22349
76,87.0,87.25512
77,86.90000153,87.14398
78,86.80000305,87.23727
79,87.0,86.99841
80,86.59999847,87.0556
81,86.69999695,87.23004
82,86.90000153,86.987564
86,87.0,87.249084
89,86.69999695,87.07287
91,86.80000305,86.86605
93,87.09999847,87.052216
97,87.09999847,87.444435
99,87.09999847,87.48007
100,86.69999695,86.67233
101,86.90000153,87.2224
105,87.19999695,87.26036
106,87.30000305,87.17012
107,87.69999695,87.55977
110,87.59999847,87.37735
111,87.90000153,87.628685
112,87.90000153,87.81852
115,85.542239,85.64611
116,85.542239,85.57377
120,89.0,88.08134
123,86.69999695,86.874245
127,85.80000305,86.225395
128,86.09999847,86.00719
129,85.69999695,86.101974
131,85.69999695,86.23309
136,85.59999847,85.63979
139,85.59999847,85.570145
145,85.59999847,85.34239
160,84.69999695,84.84401
163,85.0,85.39249
165,85.0,85.890015
168,85.0,84.91049
177,84.69999695,84.85327
178,85.0,84.821884
183,84.90000153,85.018974
184,85.19999695,85.39939
197,85.40000153,85.557175
199,85.30000305,85.55297
207,86.0,86.566696
208,86.30000305,86.24669
213,86.19999695,86.288025
215,86.19999695,86.42647
222,85.90000153,86.16278
228,85.59999847,85.813065
232,85.0,84.86871
236,84.5,84.97325
239,85.5,85.173004
243,85.30000305,85.36997
248,85.80000305,85.728546
250,85.59999847,85.48334
251,85.0,85.108025
255,86.0,85.58656
259,83.69999695,83.08098
264,85.542239,85.57892
266,85.542239,85.66921
268,87.0,86.90269
270,86.30000305,86.32683
279,87.80000305,87.86307
284,88.69999695,89.07895
288,88.59999847,88.683914
292,87.90000153,87.672035
293,88.30000305,87.98002
297,87.80000305,87.96066
299,88.19999695,88.04106
300,88.09999847,88.21948
301,88.40000153,88.61751
303,88.40000153,88.300316
307,87.30000305,87.591324
310,87.40000153,87.5534
316,86.90000153,87.01642
319,86.69999695,86.51964
323,85.59999847,85.71968
324,85.30000305,85.28169
328,84.90000153,84.944374
329,84.59999847,84.82056
330,84.5,84.788826
331,84.40000153,84.59251
336,85.19999695,85.13468
337,85.30000305,85.23257
339,86.09999847,85.99045
344,86.59999847,86.433395
350,86.19999695,86.04558
353,86.0,85.952705
354,86.30000305,85.98213
355,86.30000305,86.459625
358,85.542239,85.80394
359,85.542239,85.76369
362,88.30000305,87.84595
363,87.30000305,87.26824
367,86.40000153,86.815765
370,86.30000305,86.02857
372,86.09999847,86.10567
373,85.59999847,86.05211
374,86.0,86.23811
375,86.19999695,86.74725
386,85.90000153,86.07068
387,86.09999847,86.29235
389,86.09999847,86.2284
391,86.0,85.65062
392,85.80000305,85.680725
395,85.90000153,86.008705
400,85.59999847,85.50163
403,85.59999847,85.6824
404,85.0,85.24069
408,85.59999847,86.081604
419,84.59999847,85.136185
421,85.19999695,85.55057
423,85.40000153,85.46699
425,85.69999695,85.89908
427,85.90000153,85.8914
432,85.40000153,86.051956
433,85.59999847,85.71396
434,85.40000153,85.25604
437,85.0,85.18701
438,85.30000305,85.68965
442,85.40000153,85.72161
447,85.90000153,86.09666
448,85.69999695,85.98847
455,86.19999695,86.280945
458,85.0,85.60863
469,85.19999695,85.32935
478,84.90000153,84.812744
482,83.5,83.20831
490,84.5,84.15835
492,84.09999847,84.55434
493,83.90000153,83.86818
494,83.69999695,83.867355
497,83.59999847,83.405075
501,83.30000305,83.68073
504,83.40000153,83.81109
505,83.69999695,83.66205
511,83.59999847,84.06476
512,83.5,83.74563
513,83.69999695,83.97508
515,83.69999695,84.15361
516,83.59999847,83.97043
518,83.19999695,83.39191
523,83.0,83.894135
524,86.69999695,87.60773
537,84.80000305,84.266266
540,84.5,84.72027
542,84.40000153,84.02855
563,84.30000305,84.25969
564,84.59999847,84.727684
571,84.90000153,85.00903
573,84.69999695,84.72054
583,84.69999695,84.78349
586,84.0,84.57626
588,83.80000305,84.153336
590,83.80000305,83.90336
591,83.80000305,84.14681
592,83.90000153,84.34294
594,83.90000153,83.833725
595,83.90000153,84.17075
602,84.19999695,84.45397
603,84.40000153,83.961235
604,84.30000305,83.959305
606,84.5,84.33635
609,84.30000305,84.298386
611,84.30000305,84.32919
612,84.5,84.80114
615,85.69999695,86.14104
623,86.19999695,86.41883
625,86.09999847,85.99363
626,85.40000153,85.6897
631,85.19999695,85.4861
638,85.80000305,86.19117
645,87.19999695,86.86479
647,87.30000305,86.81716
650,86.59999847,86.906586
652,86.59999847,86.76974
653,86.40000153,86.37883
656,85.59999847,85.75998
657,85.80000305,85.38985
659,86.09999847,85.96629
662,86.19999695,86.4371
670,86.40000153,86.64583
672,86.40000153,86.32623
673,86.40000153,86.66351
674,86.30000305,86.44005
676,86.19999695,86.572784
677,86.19999695,86.46743
679,86.19999695,86.48062
681,86.09999847,86.050674
686,85.90000153,85.98953
691,86.19999695,86.317635
696,87.19999695,87.17435
699,86.59999847,86.940834
701,86.90000153,86.85097
702,87.09999847,87.25475
705,86.90000153,86.91231
706,86.5,86.835915
707,86.80000305,86.3942
708,86.90000153,86.56061
711,86.80000305,87.35736
714,87.19999695,87.033676
717,85.542239,85.57152
721,88.40000153,87.762596
732,84.5,84.832504
736,84.5,84.501656
739,84.19999695,84.155014
740,84.40000153,84.43981
744,84.19999695,84.26953
746,83.80000305,84.28183
750,83.59999847,83.87155
753,82.5,82.51534
754,82.09999847,82.39322
755,82.19999695,82.50802
757,82.0,82.78119
759,82.0,82.365005
761,82.19999695,82.3848
762,82.0,82.49219
764,82.30000305,82.36066
765,83.0,83.462654
769,83.30000305,83.51325
770,83.19999695,83.42647
781,82.59999847,82.59676
782,82.90000153,83.00014
784,83.0,83.39206
795,85.542239,85.66482
797,89.0,87.015945
804,83.90000153,83.55437
807,84.30000305,83.91145
809,84.40000153,84.31531
810,84.40000153,84.80989
814,84.5,84.39583
815,84.69999695,84.50304
819,85.09999847,84.87079
822,85.19999695,85.46963
824,85.59999847,85.91699
827,85.69999695,85.623695
830,85.59999847,85.50925
833,87.69999695,87.89534
835,86.40000153,86.23197
838,85.80000305,85.722466
846,85.90000153,86.014244
848,86.59999847,86.741905
851,86.0,85.95094
853,86.30000305,86.39671
857,86.40000153,86.08774
859,86.69999695,86.667885
860,86.59999847,86.46875
868,86.59999847,86.26806
869,86.59999847,86.18527
870,86.59999847,86.419266
876,86.69999695,86.842445
877,86.59999847,86.77068
881,85.09999847,84.86462
884,85.69999695,85.721214
886,85.80000305,85.91571
889,85.80000305,85.85297
894,85.19999695,85.2176
901,85.5,85.33964
902,85.0,85.11873
903,85.09999847,85.384415
907,85.09999847,85.29532
909,85.5,85.550385
919,86.0,86.157684
922,85.69999695,85.46506
924,85.59999847,85.89825
926,85.69999695,85.70369
928,85.40000153,85.65194
931,85.09999847,85.097595
934,85.09999847,85.41324
936,84.69999695,85.09101
937,85.0,85.0453
940,85.0,85.34631
941,85.0,84.918396
943,85.30000305,85.619934
945,85.09999847,85.2718
946,84.90000153,84.79169
947,85.19999695,85.18336
948,85.40000153,85.16818
956,85.5,85.33229
957,85.19999695,85.424255
960,85.40000153,84.952866
961,85.30000305,85.11319
964,85.09999847,85.19368
966,85.40000153,85.15874
967,85.30000305,85.1806
968,85.69999695,85.75116
969,85.59999847,85.93118
970,85.69999695,85.93264
972,85.69999695,85.42099
973,85.19999695,85.484825
981,85.5,85.6965
986,85.542239,85.5992
997,83.0,83.32615
998,83.09999847,82.82167
999,82.69999695,83.01541
1000,82.90000153,83.08781
1004,83.19999695,83.20998
1007,83.09999847,82.919426
1009,83.0,83.09756
1010,83.09999847,82.77646
1020,83.5,83.581924
1024,82.90000153,82.76351
1025,82.40000153,82.542786
1026,83.09999847,83.83174
1028,85.542239,85.6286
1032,85.542239,85.379745
1040,83.59999847,83.226295
1052,85.69999695,85.53876
1053,85.40000153,85.43324
1054,85.59999847,85.165474
1057,85.40000153,85.49401
1058,85.30000305,85.241425
1059,85.19999695,84.926285
1062,85.59999847,85.38478
1064,85.19999695,85.01303
1068,85.80000305,85.47154
1071,85.69999695,85.76421
1077,85.59999847,85.880936
1079,85.5,85.60881
1080,85.40000153,85.40971
1092,85.40000153,85.47548
1093,86.69999695,87.31961
1097,86.69999695,86.78644
1099,84.80000305,85.09322
1111,84.80000305,85.04592
1117,84.69999695,84.70883
1125,85.0,84.65924
1128,84.90000153,84.617096
1130,84.30000305,84.736084
1131,84.40000153,84.32846
1134,84.19999695,83.7607
1137,84.30000305,84.50018
1146,85.09999847,85.43135
1152,85.5,85.0189
1154,85.19999695,85.595726
1157,84.40000153,84.41194
1162,85.0,85.241005
1164,85.30000305,85.68195
1169,85.30000305,85.48413
1174,85.40000153,85.49641
1175,85.19999695,85.495674
1178,84.90000153,85.20854
1179,85.09999847,85.16553
1181,85.0,85.02478
1183,84.90000153,84.87709
1186,84.90000153,85.11616
1188,84.59999847,84.95457
1190,84.30000305,84.44055
1193,85.542239,85.587456
1198,86.30000305,85.80791
1199,86.09999847,86.38982
1200,86.09999847,86.48411
1205,84.09999847,83.98819
1207,84.40000153,84.82008
1208,84.59999847,84.84238
1211,85.0,85.40583
1214,84.80000305,84.82631
1221,86.30000305,86.20042
1222,86.19999695,86.42387
1226,85.09999847,84.83777
1227,85.0,84.609406
1228,84.90000153,84.78799
1229,84.69999695,84.76683
1239,84.90000153,84.94145
1241,85.09999847,84.5715
1243,84.5,84.23595
1253,84.69999695,84.64023
1258,85.09999847,85.018616
1260,85.5,85.07335
1263,85.40000153,85.34229
1264,85.30000305,85.19618
1268,85.40000153,85.214905
1287,85.542239,85.62097
1289,85.542239,85.73625
1291,85.90000153,85.204865
1296,84.40000153,84.34755
1300,83.59999847,84.03456
1301,84.40000153,84.18754
1305,84.5,84.86262
1306,84.30000305,84.432724
1307,84.30000305,84.11098
1311,84.59999847,84.82645
1316,84.30000305,84.404526
1320,84.80000305,84.697495
1321,84.69999695,84.350815
1323,84.59999847,84.60537
1324,84.5,84.31062
1325,84.40000153,84.657745
1335,84.69999695,84.180855
1337,84.69999695,85.0523
1339,84.40000153,84.51338
1340,84.40000153,85.01714
1344,84.59999847,84.37073
1345,84.59999847,84.540215
1348,84.5,84.29304
1354,84.69999695,84.33685
1355,84.40000153,84.41934
1356,84.59999847,84.46051
1360,84.19999695,84.16115
1365,84.90000153,84.81399
1366,85.0,85.16691
1372,84.59999847,84.92769
1375,85.0,84.78812
1381,84.90000153,84.62082
1383,84.80000305,84.716644
1384,84.59999847,84.36137
1385,84.40000153,84.80075
1394,84.80000305,84.89897
1397,85.80000305,85.96375
1400,85.30000305,85.435715
1401,85.40000153,85.79466
1404,85.19999695,85.582596
1405,85.40000153,85.62196
1408,85.30000305,85.28656
1409,85.30000305,85.12214
1412,85.69999695,85.75186
1415,86.0,86.10416
1416,86.09999847,85.867004
1423,87.30000305,87.01936
1426,87.40000153,87.32669
1429,87.0,87.147
1434,85.542239,85.64255
1435,85.542239,85.81331
1436,85.542239,85.75891
1439,87.5,87.12758
1440,86.69999695,86.452805
1443,85.40000153,85.360054
1447,85.09999847,85.49233
1449,85.0,84.749405
1451,85.19999695,85.42557
1459,84.80000305,85.03305
1472,84.09999847,84.53932
1474,84.30000305,84.36105
1477,84.30000305,84.55357
1483,83.80000305,84.1071
1486,83.90000153,84.11847
1488,84.0,84.575775
1492,84.0,84.24903
1497,83.80000305,84.21317
1506,83.40000153,83.92403
1508,83.30000305,83.59052
1510,83.0,83.2496
1512,83.09999847,83.22764
1527,82.90000153,82.87166
1537,82.69999695,83.01482
1548,82.5,82.20816
1549,82.5,82.90577
1557,82.09999847,82.499756
1558,82.30000305,82.85616
1560,83.19999695,83.23857
1561,83.30000305,83.22976
1562,83.59999847,83.943146
1565,82.19999695,82.00015
1572,89.69999695,88.59264
1575,85.80000305,86.17117
1576,84.30000305,83.533875
1579,84.09999847,83.683784
1588,85.5,85.47209
1591,85.5,85.10236
1600,85.5,86.00768
1602,85.59999847,85.639786
1604,85.40000153,85.4782
1608,84.90000153,85.21324
1609,85.0,85.18631
1610,85.0,85.35967
1612,84.90000153,84.909836
1613,85.09999847,85.09766
1614,85.09999847,85.314964
1616,85.0,85.00217
1618,84.40000153,84.88244
1623,83.90000153,84.034515
1627,84.09999847,84.33552
1629,84.40000153,84.82827
1631,84.30000305,84.22035
1634,84.09999847,84.7333
1635,84.40000153,84.83807
1639,84.5,84.451706
1641,84.40000153,85.04305
1648,85.0,85.14412
1655,84.30000305,84.41204
1659,83.69999695,84.22602
1660,84.0,84.48586
1663,85.30000305,85.39433
1664,84.90000153,84.91807
1671,84.90000153,84.90671
1674,85.09999847,85.444984
1676,84.59999847,84.51782
1677,84.30000305,84.62771
1681,83.69999695,84.07927
1682,83.80000305,84.07922
1684,84.09999847,84.47787
1686,84.30000305,84.6076
1697,85.19999695,85.28657
1703,84.59999847,85.23192
1707,84.09999847,84.394455
1711,83.80000305,84.321884
1713,84.30000305,84.715744
1716,84.5,84.897484
1717,84.80000305,85.01956
1719,84.59999847,84.68199
1720,84.59999847,85.03755
1723,84.40000153,85.00171
1724,84.59999847,85.28926
1725,84.80000305,85.325516
1731,84.80000305,84.85698
1734,84.80000305,85.11346
1740,84.30000305,84.57833
1745,84.30000305,84.54892
1747,83.80000305,84.45798
1757,85.0,85.0585
1758,84.59999847,84.907166
1762,84.59999847,84.761635
1769,84.19999695,83.94322
1770,83.40000153,83.648125
1773,83.19999695,83.71176
1776,83.59999847,84.06929
1777,83.5,83.77249
1779,83.59999847,83.695114
1780,83.5,83.8241
1781,83.19999695,83.51603
1782,83.19999695,83.52972
1787,83.59999847,84.0194
1792,84.59999847,85.21027
1795,84.19999695,84.64322
1798,85.542239,85.29259
1799,85.542239,85.38194
1801,85.542239,85.45874
1802,85.542239,85.68056
1803,85.542239,85.71804
1805,85.542239,85.52603
1807,88.09999847,87.36694
1820,85.30000305,85.19913
1821,85.0,85.26422
1823,84.59999847,85.00701
1825,85.09999847,85.01955
1827,84.80000305,84.82637
1838,85.09999847,85.131134
1841,84.69999695,84.782715
1847,84.5,84.947624
1851,84.5,84.721756
1858,84.69999695,85.05357
1860,85.0,85.19066
1862,85.30000305,85.26133
1863,85.40000153,85.29338
1871,85.19999695,85.05044
1873,84.90000153,84.880424
1876,84.69999695,84.866974
1877,84.80000305,84.68538
1880,84.59999847,84.668335
1882,84.5,84.91472
1883,84.69999695,84.90175
1885,84.90000153,84.99995
1886,84.69999695,85.08353
1890,84.19999695,84.34902
1895,84.19999695,84.52793
1896,84.30000305,84.833885
1897,84.19999695,84.44693
1898,84.30000305,84.082184
1901,84.5,84.92618
1903,84.0,84.42252
1907,84.40000153,84.61325
1908,84.40000153,84.662865
1909,84.59999847,84.56769
1913,84.5,84.73529
1918,84.80000305,84.79912
1923,84.09999847,84.40985
1924,84.5,84.2692
1925,84.19999695,84.4995
1929,85.5,85.80147
1932,86.30000305,86.522484
1935,86.19999695,86.504
1938,85.19999695,85.49027
1945,85.30000305,85.80815
1947,85.40000153,85.41764
1950,86.0,86.20413
1962,85.0,85.168625
1963,85.30000305,85.39189
1964,85.5,85.705826
1966,85.30000305,85.638725
1967,85.0,84.894615
1968,85.30000305,85.42419
1971,85.59999847,85.88875
1973,85.80000305,85.89267
1980,85.542239,85.57843
1981,85.542239,85.6671
1987,84.40000153,84.08448
1991,83.69999695,84.41497
2003,84.0,84.325745
2005,84.0,84.225624
2010,84.30000305,84.349014
2015,83.19999695,83.15938
2018,82.5,83.00018
2022,83.30000305,83.3568
2023,83.19999695,82.96455
2028,83.09999847,83.466866
2040,83.80000305,83.764206
2042,83.80000305,83.91484
2046,85.542239,85.54529
2050,85.542239,85.60281
2051,85.542239,85.74654
2068,84.19999695,84.03162
2069,83.90000153,83.96132
2073,84.09999847,84.404785
2083,84.59999847,84.47752
2086,84.5,84.73364
2093,84.30000305,84.70414
2094,84.5,84.54905
2096,84.5,84.583694
2098,84.5,84.391464
2099,84.40000153,84.31329
2107,84.09999847,84.31469
2109,84.09999847,84.32022
2116,84.0,84.4362
2117,84.0,84.35387
2120,84.0,84.149796
2121,83.90000153,84.29285
2123,85.0,85.4236
2127,85.40000153,85.63693
2129,85.30000305,85.53641
2130,84.80000305,85.33239
2136,85.0,85.15744
2138,86.0,86.64841
2155,85.80000305,86.224106
2156,85.80000305,86.11373
2163,86.30000305,86.57463
2169,87.30000305,87.49007
2170,87.40000153,87.42507
2173,88.59999847,88.60274
2181,85.542239,85.51544
2195,84.69999695,84.790344
2197,85.09999847,85.74175
2198,85.09999847,84.94656
2199,85.09999847,85.32556
2202,84.80000305,85.09672
2205,84.69999695,85.01782
2208,84.19999695,84.552826
2219,85.09999847,85.219795
2222,84.69999695,84.70334
2226,83.80000305,84.11151
2230,84.0,84.00293
2231,83.80000305,84.07311
2233,84.19999695,84.26283
2236,84.30000305,84.46903
2246,84.59999847,84.77521
2248,83.90000153,84.26649
2251,83.59999847,83.94831
2254,83.5,83.54583
2255,83.19999695,83.80142
2257,83.30000305,83.62319
2258,83.59999847,84.141235
2273,83.40000153,83.55864
2274,83.5,83.51201
2276,83.30000305,83.265366
2282,83.69999695,83.89138
2283,84.0,83.60434
2286,83.5,84.03675
2289,83.80000305,83.83367
2292,83.5,83.4266
2295,83.90000153,83.948265
2297,83.69999695,83.33573
2299,83.90000153,83.88651
2302,82.5,82.80086
2304,85.542239,85.52338
2307,88.59999847,88.88095
2309,86.40000153,86.63462
2312,84.40000153,83.991394
2313,84.59999847,84.52477
2316,85.19999695,85.460754
2317,85.40000153,85.27295
2319,84.80000305,84.56606
2320,84.59999847,84.80353
2321,84.59999847,84.934006
2322,85.19999695,85.21788
2324,85.30000305,85.592316
2326,84.80000305,84.80804
2331,84.59999847,84.77255
2336,84.59999847,84.88266
2341,85.0,84.79376
2342,85.09999847,85.29719
2344,84.90000153,84.40312
2347,84.5,84.55288
2349,84.30000305,84.41678
2352,84.30000305,84.29272
2353,84.0,84.28397
2354,84.30000305,84.28452
2360,85.40000153,85.456345
2362,85.09999847,84.84551
2366,84.80000305,84.87297
2370,84.69999695,84.76481
2371,84.69999695,84.44014
2383,85.69999695,85.88816
2386,86.0,86.0023
2387,86.40000153,86.547295
2391,85.69999695,85.73422
2392,85.59999847,85.47122
2403,86.19999695,86.4338
2408,86.09999847,85.82286
2409,86.19999695,86.37247
2410,86.40000153,86.26645
2413,86.69999695,86.53558
2415,86.19999695,86.41312
2416,86.69999695,86.83392
2418,86.30000305,86.84062
2422,85.59999847,86.07391
2430,85.30000305,85.45824
2432,84.80000305,85.1386
2435,85.5,85.32605
2437,85.30000305,85.44939
2439,86.19999695,85.66904
2441,86.0,85.95428
2451,85.80000305,85.894165
2452,86.40000153,86.55585
2461,87.80000305,87.90655
2463,87.30000305,87.11284
2467,86.0,85.62019
2469,86.19999695,86.03203
2471,85.30000305,84.70464
2474,85.69999695,85.70645
2477,86.0,85.25212
2479,85.80000305,86.05643
2482,85.69999695,85.32349
2489,84.90000153,84.35953
2492,84.69999695,84.51497
2494,85.0,84.710075
2496,84.80000305,84.91068
2497,85.0,85.062325
2502,85.542239,85.66589
2504,85.542239,85.72061
2508,84.0,83.94046
2512,83.30000305,83.02434
2514,83.09999847,83.26767
2522,83.90000153,84.253426
2523,84.30000305,84.5882
2532,84.0,83.67439
2538,84.5,84.83382
2540,85.0,84.697685
2541,84.5,84.64112
2544,85.09999847,85.17755
2546,84.90000153,85.19508
2547,84.90000153,84.99058
2555,84.90000153,85.19987
2556,84.80000305,85.06535
2557,84.59999847,84.53335
2558,84.09999847,83.99176
2561,84.80000305,85.06312
2562,84.90000153,85.022804
2567,85.30000305,85.04487
2575,84.5,84.52191
2581,84.90000153,85.3743
2582,84.59999847,84.78813
2583,85.542239,85.82152
2589,85.542239,85.690254
2593,84.90000153,84.80083
2596,85.30000305,85.041534
2597,84.80000305,84.89238
2598,84.59999847,84.45889
2599,84.59999847,84.81537
2603,84.80000305,84.72261
2609,84.19999695,84.322014
2610,84.90000153,84.8571
2622,85.5,86.03439
2624,85.59999847,86.04875
2628,85.80000305,85.77261
2634,85.59999847,85.53323
2637,84.59999847,84.50395
2638,84.69999695,85.2641
2651,85.59999847,85.6248
2654,85.09999847,85.57418
2656,85.59999847,85.58022
2659,86.0,86.292725
2660,86.19999695,86.33658
2665,87.09999847,87.48613
2668,87.5,87.740906
2671,87.69999695,87.742004
2673,86.5,86.6696
2674,86.40000153,86.22075
2677,86.30000305,86.43433
2679,86.5,86.53
2680,86.59999847,86.48012
2681,87.0,87.26865
2683,87.59999847,87.83227
2684,87.69999695,87.62483
2688,87.59999847,87.46113
2691,86.30000305,86.442566
2692,86.19999695,86.444565
2699,86.09999847,86.37082
2704,86.30000305,86.23004
2710,84.90000153,85.479645
2711,84.90000153,84.7755
2721,85.80000305,86.03312
2722,85.90000153,86.311455
2725,85.09999847,85.05901
2727,85.5,85.95552
2732,85.40000153,85.6148
2736,85.0,85.226364
2737,85.0,85.19359
2739,84.90000153,85.44077
2741,85.5,86.04397
2742,85.69999695,86.122154
2745,85.69999695,85.86634
2748,86.40000153,86.20963
2750,86.19999695,86.40291
2757,86.0,85.85547
2765,86.80000305,87.25026
2771,88.09999847,86.594086
2775,84.59999847,85.04169
2779,84.80000305,84.94658
2780,84.90000153,84.71378
2781,84.69999695,84.426636
2785,84.5,84.6307
2787,84.69999695,84.65466
2788,84.5,84.45989
2792,84.59999847,84.903435
2794,84.80000305,84.56528
2798,84.19999695,83.892
2800,84.30000305,84.34447
2801,84.19999695,83.84224
2803,84.30000305,83.83298
2807,83.80000305,83.66917
2809,84.0,84.420876
2814,84.40000153,84.21347
2816,84.0,83.9894
2820,83.30000305,83.49137
2822,83.40000153,83.357666
2825,83.69999695,84.06744
2827,83.80000305,84.10369
2832,83.80000305,83.620476
2835,83.40000153,83.83005
2837,83.30000305,83.45498
2842,84.09999847,84.13861
2844,84.09999847,84.00758
2845,82.90000153,82.51785
2852,87.59999847,87.167145
2855,83.19999695,83.149536
2863,83.59999847,83.78243
2864,83.5,83.84777
2874,83.69999695,83.79528
2878,84.09999847,83.881165
2880,83.90000153,84.002686
2881,83.80000305,83.98276
2882,84.0,83.77771
2885,83.90000153,83.6948
2886,83.69999695,83.693695
2893,83.30000305,83.68029
2896,83.69999695,83.58113
2897,83.59999847,84.03441
2901,83.90000153,83.91216
2903,84.09999847,84.45119
2906,84.80000305,84.64929
2910,85.19999695,85.03008
2912,85.40000153,85.42392
2922,84.09999847,84.41069
2927,83.69999695,83.95418
2928,83.80000305,84.21102
2934,83.90000153,84.07865
2935,83.5,83.854004
2937,83.69999695,83.85984
2941,84.0,84.36368
2945,84.90000153,84.8882
2947,85.19999695,85.14932
2950,84.80000305,85.071754
2953,84.5,84.68294
2956,84.0,84.25778
2957,83.69999695,84.255035
2960,84.30000305,84.458115
2961,84.09999847,84.3681
2963,84.40000153,84.28819
2964,84.5,84.68504
2968,85.0,84.81569
2969,85.09999847,85.20755
2970,85.09999847,84.96484
2974,84.90000153,84.885544
2977,84.80000305,85.10777
2978,85.09999847,85.46226
2979,85.40000153,85.59079
